url,nombre1
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Iván_De_la_Maza_Maillet,De la Maza Maillet Iván
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/María_Catalina_Del_Real_Mihovilovic,Del Real Mihovilovic María Catalina
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Viviana_Delgado_Riquelme,Delgado Riquelme Viviana Soledad
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Roberto_Delmastro_Naso,Delmastro Naso Roberto
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Mario_Guillermo_Desbordes_Jiménez,Desbordes Jiménez Mario Guillermo
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Mario_Devaud_Ojeda,Devaud Ojeda Mario
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Julio_Dittborn_Cordua,Dittborn Cordua Julio
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Felipe_Donoso_Castro,Donoso Castro Felipe Guillermo
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Gonzalo_Duarte_Leiva,Duarte Leiva Gonzalo
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Jorge_Andrés_Durán_Espinoza,Durán Espinoza Jorge Andrés
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Eduardo_Alfredo_Durán_Salinas,Durán Salinas Eduardo Alfredo
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/José_Miguel_Alberto_Durana_Semir,Durana Semir José Miguel Alberto
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Marcelo_Eduardo_Díaz_Díaz,Díaz Díaz Marcelo Eduardo
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Nicolás_Díaz_Sánchez,Díaz Sánchez Nicolás
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Eduardo_Díaz_del_Río,Díaz del Río Eduardo José Antonio
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Luz_Eliana_Ebensperger_Orrego,Ebensperger Orrego Luz Eliana
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/José_Manuel_Rojo_Edwards_Silva,Edwards Silva José Manuel Rojo
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Andrés_Antonio_Egaña_Respaldiza,Egaña Respaldiza Andrés Antonio
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Francisco_de_Borja_Eguiguren_Correa,Eguiguren Correa Francisco
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Sergio_Benedicto_Elgueta_Barrientos,Elgueta Barrientos Sergio Benedicto
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Ramón_Elizalde_Hevia,Elizalde Hevia Ramón Julio
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Álvaro_Antonio_Elizalde_Soto,Elizalde Soto Álvaro Antonio
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Edmundo_Eluchans_Urenda,Eluchans Urenda Edmundo
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/José_Francisco_Encina_Moriamez,Encina Moriamez José Francisco
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Marco_Antonio_Enríquez-Ominami_Gumucio,Enríquez-Ominami Gumucio Marco Antonio
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Francisco_Javier_Errázuriz_Talavera,Errázuriz Talavera Francisco Javier
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Camilo_Escalona_Medina,Escalona Medina Camilo
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Álvaro_Escobar_Rufatt,Escobar Rufatt Álvaro
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Mario_Escobar_Urbina,Escobar Urbina Mario
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Sergio_Espejo_Yaksic,Espejo Yaksic Sergio
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Alberto_Espina_Otero,Espina Otero Alberto
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Marcos_Espinosa_Monardes,Espinosa Monardes Marcos
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Fidel_Edgardo_Espinoza_Sandoval,Espinoza Sandoval Fidel Edgardo
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Enrique_Estay_Peñaloza,Estay Peñaloza Enrique
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Jaime_Estévez_Valencia,Estévez Valencia Jaime
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Ángel_Fantuzzi_Hernández,Fantuzzi Hernández Ángel
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Daniel_Alejandro_Farcas_Guendelman,Farcas Guendelman Daniel Alejandro
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Ramón_Farías_Ponce,Farías Ponce Ramón
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Dionisio_Ventura_Faulbaum_Mayorga,Faulbaum Mayorga Dionisio Ventura
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Olga_Feliú_Segovia,Feliú Segovia Olga
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Maya_Alejandra_Fernández_Allende,Fernández Allende Maya Alejandra
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Sergio_Fernández_Fernández,Fernández Fernández Sergio Ramiro
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Luis_Valentín_Ferrada_Valenzuela,Ferrada Valenzuela Luis Valentín
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Iván_Alberto_Flores_García,Flores García Iván Alberto
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Carlos_Fernando_Flores_Labra,Flores Labra Carlos Fernando
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Camila_Alejandra_Flores_Oporto,Flores Oporto Camila Alejandra
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Marcelo_Forni_Lobos,Forni Lobos Marcelo Iván
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Haroldo_Fossa_Rojas,Fossa Rojas Haroldo Lincoyán
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Alejandro_Tomás_Foxley_Rioseco,Foxley Rioseco Alejandro Tomás
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Carmen_Frei_Ruiz-Tagle,Frei Ruiz Tagle Carmen
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Eduardo_Frei_Ruiz-Tagle,Frei Ruiz-Tagle Eduardo
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Lorena_Fries_Monleón,Fries Monleón Julia Lorena
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Francisco_Renán_Fuentealba_Vildósola,Fuentealba Vildósola Francisco Renán
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Tomás_Fuentes_Barros,Fuentes Barros Tomás Andrés
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Iván_Aladino_Fuentes_Castillo,Fuentes Castillo Iván Aladino
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Juan_Manuel_Fuenzalida_Cobo,Fuenzalida Cobo Juan Manuel
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Gonzalo_Guillermo_Fuenzalida_Figueroa,Fuenzalida Figueroa Gonzalo Guillermo
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Sergio_Alfredo_Gahona_Salazar,Gahona Salazar Sergio Alfredo
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Rubén_Gajardo_Chacón,Gajardo Chacón Rubén
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Pablo_Galilea_Carrillo,Galilea Carrillo Pablo
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Rodrigo_Galilea_Vial,Galilea Vial Rodrigo
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/José_Antonio_Galilea_Vidaurre,Galilea Vidaurre José Antonio
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Ramón_Ernesto_Galleguillos_Castillo,Galleguillos Castillo Ramón Ernesto
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/René_Manuel_García_García,García García René Manuel
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Alejandro_García-Huidobro_Sanfuentes,García Huidobro Sanfuentes Alejandro
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/José_Gilberto_García_Ruminot,García Ruminot José
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Renato_Fabrizio_Garín_González,Garín González Renato Fabrizio
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/María_José_Gatica_Bertín,Gatica Bertín María José
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Jaime_Gazmuri_Mujica,Gazmuri Mujica Jaime
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Ana_María_Gazmuri_Vieira,Gazmuri Vieira Ana María
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Andrés_Giordano_Salazar,Giordano Salazar Andrés Sergio
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Guido_Girardi_Brière,Girardi Brière Guido
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Cristina_Girardi_Lavín,Girardi Lavín Cristina
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Guido_Girardi_Lavín,Girardi Lavín Guido
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Joaquín_Godoy_Ibáñez,Godoy Ibañez Joaquín
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Carolina_Goic_Boroevic,Goic Boroevic Carolina
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Félix_Marcelo_González_Gatica,González Gatica Félix Marcelo
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Carlos_González_Márquez,González Márquez Carlos
