nombreapellidos,partido,eleccion,year,url,nombres,apellido_paterno,apellido_materno,profesion,nacimiento,lugar_nacimiento,fallecimiento,religion,casado_dummy,cantidad_hijos,fecha_eleccion
EDUARDO DURAN SALINAS,RN,diputados,2017,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Eduardo_Alfredo_Durán_Salinas,Eduardo Alfredo,Durán,Salinas,Master in Applied Economics/Master of Business Administration,1 de Enero de 1972,Santiago,,Evangélico,1,dos,19 de noviembre de 2017
CRISTHIAN MOREIRA BARROS,UDI,diputados,2017,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Cristhian_Patricio_Moreira_Barros,Cristhian Patricio,Moreira,Barros,Corredor de Propiedades,5 de Septiembre de 1961,Santiago,,,1,0,19 de noviembre de 2017
GUILLERMO TEILLIER DEL VALLE,PC,diputados,2017,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Guillermo_León_Teillier_del_Valle,Guillermo León,Teillier,del Valle,Profesor de Castellano,29 de Octubre de 1943,Santa Bárbara,29 de Agosto de 2023,,0,tres,19 de noviembre de 2017
LORENA PIZARRO SIERRA,PC,diputados,2021,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Lorena_Pizarro_Sierra,Lorena Soledad Gloria,Pizarro,Sierra,Educadora de Párvulos,14 de Febrero de 1966,Santiago,,,1,dos,21 de noviembre de 2021
CRISTHIAN MOREIRA BARROS,UDI,diputados,2021,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Cristhian_Patricio_Moreira_Barros,Cristhian Patricio,Moreira,Barros,Corredor de Propiedades,5 de Septiembre de 1961,Santiago,,,1,0,21 de noviembre de 2021
DANIEL MELO CONTRERAS,PS,diputados,2021,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Daniel_Alexander_Melo_Contreras,Daniel Alexander,Melo,Contreras,Magíster en Asentamientos Humanos,18 de Febrero de 1979,Santiago,,,0,un,21 de noviembre de 2021
JAIME HERNAN PILOWSKY GREENE,PDC,diputados,2013,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Jaime_Hernán_Gonzalo_Pilowsky_Greene,Jaime Hernán Gonzalo,Pilowsky,Greene,Máster en Administración,03 de Diciembre de 1965,Viña del Mar,,,1,una,17 de noviembre de 2013
JORGE CARLOS TARUD DACCARETT,PPD,diputados,2013,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Jorge_Tarud_Daccarett,Jorge,Tarud,Daccarett,Egresado de Derecho,19 de Julio de 1953,Santiago,,,1,dos,17 de noviembre de 2013
RAUL LEIVA CARVAJAL,PS,diputados,2017,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Raúl_Alfonso_Leiva_Carvajal,Raúl Alfonso,Leiva,Carvajal,Master of Business Law (MBL); Magíster en Gestión de Sustentabilidad; Magíster en Comunicación Estratégica,24 de Marzo de 1974,Santiago,,,1,0,19 de noviembre de 2017
RENATO GARIN GONZALEZ,RD,diputados,2017,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Renato_Fabrizio_Garín_González,Renato Fabrizio,Garín,González,Master en derecho/Magíster en prensa escrita,30 de Mayo de 1986,Santiago,,,0,0,19 de noviembre de 2017
JAIME BELLOLIO AVARIA,UDI,diputados,2017,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Jaime_Andrés_Bellolio_Avaria,Jaime Andrés,Bellolio,Avaria,Máster en Políticas Públicas,29 de Noviembre de 1980,Santiago,,,1,tres,19 de noviembre de 2017
LEONARDO SOTO FERRADA,PS,diputados,2017,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Leonardo_Enrique_Soto_Ferrada,Leonardo Enrique,Soto,Ferrada,Abogado,15 de Mayo de 1966,San Bernardo,,,1,dos,19 de noviembre de 2017
MARISELA SANTIBAÑEZ NOVOA,PRO,diputados,2017,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Marisela_del_Carmen_Santibáñez_Novoa,Marisela del Carmen,Santibáñez,Novoa,Actriz,24 de Abril de 1975,Santiago,,,0,0,19 de noviembre de 2017
RAUL LEIVA CARVAJAL,PS,diputados,2021,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Raúl_Alfonso_Leiva_Carvajal,Raúl Alfonso,Leiva,Carvajal,Master of Business Law (MBL); Magíster en Gestión de Sustentabilidad; Magíster en Comunicación Estratégica,24 de Marzo de 1974,Santiago,,,1,0,21 de noviembre de 2021
JUAN IRARRAZAVAL ROSSEL,REPUBLICANO,diputados,2021,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Juan_Irarrázaval_Rossel,Juan Eduardo,Irarrázaval,Rossel,Licenciado en Ciencias Jurídicas y Sociales,23 de Junio de 1983,Santiago,,,1,0,21 de noviembre de 2021
