deputyid,distrito,partido,pacto,tendencia,nombre,year,region
1078,20,PS,NUEVA MAYORIA,0,JAIME TOHA GONZALEZ,2019,8
815,20,UDI,CHILE VAMOS,1,SERGIO BOBADILLA MUÑOZ,2019,8
815,20,UDI,CHILE VAMOS,1,SERGIO BOBADILLA MUÑOZ,2020,8
1069,20,RN,CHILE VAMOS,1,LEONIDAS ROMERO SAEZ,2020,8
879,20,PDC,PDC,0,JOSE MIGUEL ORTIZ NOVOA,2020,8
1071,20,PS,NUEVA MAYORIA,0,GASTON SAAVEDRA CHANDIA,2020,8
1054,20,RN,CHILE VAMOS,1,FRANCESCA MUÑOZ GONZALEZ,2020,8
1034,20,PEV,PEV,0,FELIX GONZALEZ GATICA,2020,8
1078,20,PS,NUEVA MAYORIA,0,JAIME TOHA GONZALEZ,2020,8
959,20,UDI,CHILE VAMOS,1,ENRIQUE VAN RYSSELBERGHE HERRERA,2020,8
1071,20,PS,NUEVA MAYORIA,0,GASTON SAAVEDRA CHANDIA,2021,8
879,20,PDC,PDC,0,JOSE MIGUEL ORTIZ NOVOA,2021,8
1078,20,PS,NUEVA MAYORIA,0,JAIME TOHA GONZALEZ,2021,8
1069,20,RN,CHILE VAMOS,1,LEONIDAS ROMERO SAEZ,2021,8
1034,20,PEV,PEV,0,FELIX GONZALEZ GATICA,2021,8
815,20,UDI,CHILE VAMOS,1,SERGIO BOBADILLA MUÑOZ,2021,8
959,20,UDI,CHILE VAMOS,1,ENRIQUE VAN RYSSELBERGHE HERRERA,2021,8
1054,20,RN,CHILE VAMOS,1,FRANCESCA MUÑOZ GONZALEZ,2021,8
1096,20,PC,FRENTE AMPLIO,0,María Candelaria Acevedo Sáez,2022,8
815,20,UDI,CHILE VAMOS,1,Sergio Bobadilla Muñoz,2022,8
1102,20,PSC,FRENTE SOCIAL CRISTIANO,1,Roberto Arroyo Muñoz,2022,8
1069,20,IND,CHILE VAMOS,1,Leonidas Romero Sáez,2022,8
1097,20,PDC,PDC,0,Eric Aedo Jeldres,2022,8
1034,20,PEV,PEV,0,Félix González Gatica,2022,8
1157,20,IND,CHILE VAMOS,1,Marlene Pérez Cartes,2022,8
1054,20,PSC,FRENTE SOCIAL CRISTIANO,1,Francesca Muñoz González,2022,8
1096,20,PC,FRENTE AMPLIO,0,María Candelaria Acevedo Sáez,2023,8
1069,20,IND,CHILE VAMOS,1,Leonidas Romero Sáez,2023,8
1157,20,IND,CHILE VAMOS,1,Marlene Pérez Cartes,2023,8
1054,20,PSC,FRENTE SOCIAL CRISTIANO,1,Francesca Muñoz González,2023,8
1097,20,PDC,PDC,0,Eric Aedo Jeldres,2023,8
1034,20,PEV,PEV,0,Félix González Gatica,2023,8
815,20,UDI,CHILE VAMOS,1,Sergio Bobadilla Muñoz,2023,8
1102,20,PSC,FRENTE SOCIAL CRISTIANO,1,Roberto Arroyo Muñoz,2023,8
1054,20,PSC,FRENTE SOCIAL CRISTIANO,1,Francesca Muñoz González,2024,8
1097,20,PDC,PDC,0,Eric Aedo Jeldres,2024,8
1157,20,IND,CHILE VAMOS,1,Marlene Pérez Cartes,2024,8
1096,20,PC,FRENTE AMPLIO,0,María Candelaria Acevedo Sáez,2024,8
1034,20,PEV,PEV,0,Félix González Gatica,2024,8
815,20,UDI,CHILE VAMOS,1,Sergio Bobadilla Muñoz,2024,8
1102,20,PSC,FRENTE SOCIAL CRISTIANO,1,Roberto Arroyo Muñoz,2024,8
1069,20,IND,CHILE VAMOS,1,Leonidas Romero Sáez,2024,8
981,21,PS,NUEVA MAYORIA,0,MAYA ALEJANDRA FERNANDEZ ALLENDE,2014,13
949,21,RN,CHILE VAMOS,1,MARCELA CONSTANZA SABAT FERNANDEZ,2014,13
