nombreapellidos,partido,eleccion,year,url,nombres,apellido_paterno,apellido_materno,profesion,nacimiento,lugar_nacimiento,fallecimiento,religion,casado_dummy,cantidad_hijos
CRISTINA GIRARDI LAVIN,PPD,diputados,2019,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Cristina_Girardi_Lavín,Cristina,Girardi,Lavín,,9 de Enero de 1962,Santiago,,,1,tres
SEBASTIAN KEITEL BIANCHI,EVOPOLI,diputados,2019,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Sebastián_Keitel_Bianchi,Sebastián,Keitel,Bianchi,,14 de Febrero de 1973,Santiago de Chile,,,1,0
MAITE ORSINI PASCAL,RD,diputados,2019,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Maite_Orsini_Pascal,Maite,Orsini,Pascal,Abogada,23 de Febrero de 1988,Santiago de Chile,,,0,0
MAITE ORSINI PASCAL,RD,diputados,2020,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Maite_Orsini_Pascal,Maite,Orsini,Pascal,Abogada,23 de Febrero de 1988,Santiago de Chile,,,0,0
BORIS ANTHONY BARRERA MORENO,PC,diputados,2020,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Boris_Anthony_Barrera_Moreno,Boris Anthony,Barrera,Moreno,,3 de Mayo de 1970,Santiago de Chile,,,1,0
SEBASTIAN KEITEL BIANCHI,EVOPOLI,diputados,2020,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Sebastián_Keitel_Bianchi,Sebastián,Keitel,Bianchi,,14 de Febrero de 1973,Santiago de Chile,,,1,0
CRISTINA GIRARDI LAVIN,PPD,diputados,2020,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Cristina_Girardi_Lavín,Cristina,Girardi,Lavín,,9 de Enero de 1962,Santiago,,,1,tres
CRISTINA GIRARDI LAVIN,PPD,diputados,2021,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Cristina_Girardi_Lavín,Cristina,Girardi,Lavín,,9 de Enero de 1962,Santiago,,,1,tres
BORIS ANTHONY BARRERA MORENO,PC,diputados,2021,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Boris_Anthony_Barrera_Moreno,Boris Anthony,Barrera,Moreno,,3 de Mayo de 1970,Santiago de Chile,,,1,0
SEBASTIAN KEITEL BIANCHI,EVOPOLI,diputados,2021,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Sebastián_Keitel_Bianchi,Sebastián,Keitel,Bianchi,,14 de Febrero de 1973,Santiago de Chile,,,1,0
MAITE ORSINI PASCAL,RD,diputados,2021,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Maite_Orsini_Pascal,Maite,Orsini,Pascal,Abogada,23 de Febrero de 1988,Santiago de Chile,,,0,0
ANDRES SERGIO GIORDANO SALAZAR,INDEPENDIENTE REVOLUCION DEMOCRATICA,diputados,2022,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Andrés_Giordano_Salazar,Andrés Sergio,Giordano,Salazar,,29 de Diciembre de 1986,"Buenos Aires, Argentina",,,0,un
BORIS ANTHONY BARRERA MORENO,PC,diputados,2022,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Boris_Anthony_Barrera_Moreno,Boris Anthony,Barrera,Moreno,,3 de Mayo de 1970,Santiago de Chile,,,1,0
JOSE CARLOS MEZA PEREIRA,REPUBLICANO,diputados,2022,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/José_Meza_Pereira,José Carlos,Meza,Pereira,Licenciado en Ciencias Jurídicas,7 de Marzo de 1989,Santiago,,,0,0
BORIS ANTHONY BARRERA MORENO,PC,diputados,2023,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Boris_Anthony_Barrera_Moreno,Boris Anthony,Barrera,Moreno,,3 de Mayo de 1970,Santiago de Chile,,,1,0
JOSE CARLOS MEZA PEREIRA,REPUBLICANO,diputados,2023,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/José_Meza_Pereira,José Carlos,Meza,Pereira,Licenciado en Ciencias Jurídicas,7 de Marzo de 1989,Santiago,,,0,0
ANDRES SERGIO GIORDANO SALAZAR,INDEPENDIENTE REVOLUCION DEMOCRATICA,diputados,2023,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Andrés_Giordano_Salazar,Andrés Sergio,Giordano,Salazar,,29 de Diciembre de 1986,"Buenos Aires, Argentina",,,0,un
CHRISTIAN ERWIN URIZAR MUÑOZ,PS,diputados,2014,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Christian_Erwin_Urízar_Muñoz,Christian Erwin,Urízar,Muñoz,Ingeniero Civil Químico,27 de Mayo de 1968,Santiago,,,0,una
ANDREA MOLINA OLIVA,UDI,diputados,2014,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Andrea_Molina_Oliva,Andrea,Molina,Oliva,Secretaria Bilingüe,28 de Marzo de 1970,Santiago,,,1,dos
CHRISTIAN ERWIN URIZAR MUÑOZ,PS,diputados,2015,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Christian_Erwin_Urízar_Muñoz,Christian Erwin,Urízar,Muñoz,Ingeniero Civil Químico,27 de Mayo de 1968,Santiago,,,0,una
ANDREA MOLINA OLIVA,UDI,diputados,2015,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Andrea_Molina_Oliva,Andrea,Molina,Oliva,Secretaria Bilingüe,28 de Marzo de 1970,Santiago,,,1,dos
ANDREA MOLINA OLIVA,UDI,diputados,2016,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Andrea_Molina_Oliva,Andrea,Molina,Oliva,Secretaria Bilingüe,28 de Marzo de 1970,Santiago,,,1,dos
CHRISTIAN ERWIN URIZAR MUÑOZ,PS,diputados,2016,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Christian_Erwin_Urízar_Muñoz,Christian Erwin,Urízar,Muñoz,Ingeniero Civil Químico,27 de Mayo de 1968,Santiago,,,0,una
CHRISTIAN ERWIN URIZAR MUÑOZ,PS,diputados,2017,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Christian_Erwin_Urízar_Muñoz,Christian Erwin,Urízar,Muñoz,Ingeniero Civil Químico,27 de Mayo de 1968,Santiago,,,0,una
ANDREA MOLINA OLIVA,UDI,diputados,2017,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Andrea_Molina_Oliva,Andrea,Molina,Oliva,Secretaria Bilingüe,28 de Marzo de 1970,Santiago,,,1,dos
LUCIANO CRUZ-COKE CARVALLO,EVOPOLI,diputados,2018,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Luciano_Cruz_Coke_Carvallo,Luciano,Cruz Coke,Carvallo,Actor,1 de Julio de 1970,Santiago,,,1,cinco
SEBASTIAN TORREALBA ALVARADO,RN,diputados,2018,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Sebastián_Torrealba_Alvarado,Sebastián,Torrealba,Alvarado,Master and Bussiness Administration,6 de Febrero de 1981,Santiago de Chile,,,1,0
LUCIANO CRUZ-COKE CARVALLO,EVOPOLI,diputados,2019,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Luciano_Cruz_Coke_Carvallo,Luciano,Cruz Coke,Carvallo,Actor,1 de Julio de 1970,Santiago,,,1,cinco
SEBASTIAN TORREALBA ALVARADO,RN,diputados,2019,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Sebastián_Torrealba_Alvarado,Sebastián,Torrealba,Alvarado,Master and Bussiness Administration,6 de Febrero de 1981,Santiago de Chile,,,1,0
LUCIANO CRUZ-COKE CARVALLO,EVOPOLI,diputados,2020,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Luciano_Cruz_Coke_Carvallo,Luciano,Cruz Coke,Carvallo,Actor,1 de Julio de 1970,Santiago,,,1,cinco
SEBASTIAN TORREALBA ALVARADO,RN,diputados,2020,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Sebastián_Torrealba_Alvarado,Sebastián,Torrealba,Alvarado,Master and Bussiness Administration,6 de Febrero de 1981,Santiago de Chile,,,1,0
LUCIANO CRUZ-COKE CARVALLO,EVOPOLI,diputados,2021,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Luciano_Cruz_Coke_Carvallo,Luciano,Cruz Coke,Carvallo,Actor,1 de Julio de 1970,Santiago,,,1,cinco
SEBASTIAN TORREALBA ALVARADO,RN,diputados,2021,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Sebastián_Torrealba_Alvarado,Sebastián,Torrealba,Alvarado,Master and Bussiness Administration,6 de Febrero de 1981,Santiago de Chile,,,1,0
EMILIA SCHNEIDER VIDELA,COMUNES,diputados,2022,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Emilia_Schneider_Videla,Emilia,Schneider,Videla,,23 de Octubre de 1996,Santiago,,,0,0
MARIA LUISA CORDERO VELASQUEZ,INDEPENDIENTE RENOVACION NACIONAL,diputados,2022,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/María_Luisa_Cordero_Velásquez,María Luisa,Cordero,Velásquez,"Medica Cirujana, Psiquiatra",23 de Enero de 1943,Puerto Montt,,,0,dos
MARIA LUISA CORDERO VELASQUEZ,INDEPENDIENTE RENOVACION NACIONAL,diputados,2023,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/María_Luisa_Cordero_Velásquez,María Luisa,Cordero,Velásquez,"Medica Cirujana, Psiquiatra",23 de Enero de 1943,Puerto Montt,,,0,dos
EMILIA SCHNEIDER VIDELA,COMUNES,diputados,2023,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Emilia_Schneider_Videla,Emilia,Schneider,Videla,,23 de Octubre de 1996,Santiago,,,0,0
GASPAR ALBERTO RIVAS SANCHEZ,RN,diputados,2014,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Gaspar_Alberto_Rivas_Sánchez,Gaspar Alberto,Rivas,Sánchez,Abogado,17 de Mayo de 1978,Los Andes,,Católico,0,0
MARCO ANTONIO NUÑEZ LOZANO,PPD,diputados,2014,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Marco_Antonio_Núñez_Lozano,Marco Antonio,Núñez,Lozano,Ph.D en Salud y Políticas Públicas,22 de Noviembre de 1966,Viña del Mar,,,0,dos
MARCO ANTONIO NUÑEZ LOZANO,PPD,diputados,2015,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Marco_Antonio_Núñez_Lozano,Marco Antonio,Núñez,Lozano,Ph.D en Salud y Políticas Públicas,22 de Noviembre de 1966,Viña del Mar,,,0,dos
GASPAR ALBERTO RIVAS SANCHEZ,RN,diputados,2015,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Gaspar_Alberto_Rivas_Sánchez,Gaspar Alberto,Rivas,Sánchez,Abogado,17 de Mayo de 1978,Los Andes,,Católico,0,0
MARCO ANTONIO NUÑEZ LOZANO,PPD,diputados,2016,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Marco_Antonio_Núñez_Lozano,Marco Antonio,Núñez,Lozano,Ph.D en Salud y Políticas Públicas,22 de Noviembre de 1966,Viña del Mar,,,0,dos
GASPAR ALBERTO RIVAS SANCHEZ,RN,diputados,2016,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Gaspar_Alberto_Rivas_Sánchez,Gaspar Alberto,Rivas,Sánchez,Abogado,17 de Mayo de 1978,Los Andes,,Católico,0,0
GASPAR ALBERTO RIVAS SANCHEZ,RN,diputados,2017,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Gaspar_Alberto_Rivas_Sánchez,Gaspar Alberto,Rivas,Sánchez,Abogado,17 de Mayo de 1978,Los Andes,,Católico,0,0
MARCO ANTONIO NUÑEZ LOZANO,PPD,diputados,2017,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Marco_Antonio_Núñez_Lozano,Marco Antonio,Núñez,Lozano,Ph.D en Salud y Políticas Públicas,22 de Noviembre de 1966,Viña del Mar,,,0,dos
GONZALO ARMANDO DE LA CARRERA CORREA,REPUBLICANO,diputados,2022,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Gonzalo_De_La_Carrera_Correa,Gonzalo Armando,De La Carrera,Correa,Licenciado en Ciencias Económicas y de la Administración,13 de Enero de 1962,Santiago,,,0,6
GONZALO ARMANDO DE LA CARRERA CORREA,REPUBLICANO,diputados,2023,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Gonzalo_De_La_Carrera_Correa,Gonzalo Armando,De La Carrera,Correa,Licenciado en Ciencias Económicas y de la Administración,13 de Enero de 1962,Santiago,,,0,6
PAMELA JILES MORENO,PH,diputados,2018,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Pamela_Jiles_Moreno,Pamela,Jiles,Moreno,Periodista,30 de Noviembre de 1960,Santiago,,,0,0
PAMELA JILES MORENO,PH,diputados,2019,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Pamela_Jiles_Moreno,Pamela,Jiles,Moreno,Periodista,30 de Noviembre de 1960,Santiago,,,0,0
PAMELA JILES MORENO,PH,diputados,2020,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Pamela_Jiles_Moreno,Pamela,Jiles,Moreno,Periodista,30 de Noviembre de 1960,Santiago,,,0,0
PAMELA JILES MORENO,PH,diputados,2021,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Pamela_Jiles_Moreno,Pamela,Jiles,Moreno,Periodista,30 de Noviembre de 1960,Santiago,,,0,0
MONICA TAMARA ARCE CASTRO,INDEPENDIENTE PARTIDO HUMANISTA,diputados,2022,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Mónica_Arce_Castro,Monica Tamara,Arce,Castro,Ingeniera Logística,2 de Marzo de 1986,Santiago,,,0,cuatro
DANIELA ANDREA SERRANO SALAZAR,PC,diputados,2022,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Daniela_Serrano_Salazar,Daniela Andrea,Serrano,Salazar,,17 de Marzo de 1995,Santiago,,,0,0
PAMELA JILES MORENO,PH,diputados,2022,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Pamela_Jiles_Moreno,Pamela,Jiles,Moreno,Periodista,30 de Noviembre de 1960,Santiago,,,0,0
ANA MARIA GAZMURI VIEIRA,INDEPENDIENTE COMUNES,diputados,2022,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Ana_María_Gazmuri_Vieira,Ana María,Gazmuri,Vieira,Actriz,22 de Enero de 1966,Santiago,,,1,dos
MONICA TAMARA ARCE CASTRO,INDEPENDIENTE PARTIDO HUMANISTA,diputados,2023,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Mónica_Arce_Castro,Monica Tamara,Arce,Castro,Ingeniera Logística,2 de Marzo de 1986,Santiago,,,0,cuatro
PAMELA JILES MORENO,PH,diputados,2023,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Pamela_Jiles_Moreno,Pamela,Jiles,Moreno,Periodista,30 de Noviembre de 1960,Santiago,,,0,0
ANA MARIA GAZMURI VIEIRA,INDEPENDIENTE COMUNES,diputados,2023,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Ana_María_Gazmuri_Vieira,Ana María,Gazmuri,Vieira,Actriz,22 de Enero de 1966,Santiago,,,1,dos
DANIELA ANDREA SERRANO SALAZAR,PC,diputados,2023,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Daniela_Serrano_Salazar,Daniela Andrea,Serrano,Salazar,,17 de Marzo de 1995,Santiago,,,0,0
JOAQUIN GODOY IBAÑEZ,RN,diputados,2014,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Joaquín_Godoy_Ibáñez,Joaquín,Godoy,Ibañez,Ingeniero Comercial,25 de Enero de 1977,Santiago,,,1,0
JOAQUIN GODOY IBAÑEZ,RN,diputados,2015,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Joaquín_Godoy_Ibáñez,Joaquín,Godoy,Ibañez,Ingeniero Comercial,25 de Enero de 1977,Santiago,,,1,0
JOAQUIN GODOY IBAÑEZ,RN,diputados,2016,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Joaquín_Godoy_Ibáñez,Joaquín,Godoy,Ibañez,Ingeniero Comercial,25 de Enero de 1977,Santiago,,,1,0
JOAQUIN GODOY IBAÑEZ,RN,diputados,2017,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Joaquín_Godoy_Ibáñez,Joaquín,Godoy,Ibañez,Ingeniero Comercial,25 de Enero de 1977,Santiago,,,1,0
TUCAPEL FRANCISCO JIMENEZ FUENTES,PPD,diputados,2018,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Tucapel_Francisco_Jiménez_Fuentes,Tucapel Francisco,Jiménez,Fuentes,Ingeniero en Ejecución Eléctrico,1 de Septiembre de 1962,Santiago,,,1,tres
GAEL FERNANDA YEOMANS ARAYA,RD,diputados,2018,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Gael_Fernanda_Yeomans_Araya,Gael Fernanda,Yeomans,Araya,Abogada,4 de Diciembre de 1988,Rancagua,,,0,0
TUCAPEL FRANCISCO JIMENEZ FUENTES,PPD,diputados,2019,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Tucapel_Francisco_Jiménez_Fuentes,Tucapel Francisco,Jiménez,Fuentes,Ingeniero en Ejecución Eléctrico,1 de Septiembre de 1962,Santiago,,,1,tres
GAEL FERNANDA YEOMANS ARAYA,RD,diputados,2019,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Gael_Fernanda_Yeomans_Araya,Gael Fernanda,Yeomans,Araya,Abogada,4 de Diciembre de 1988,Rancagua,,,0,0
TUCAPEL FRANCISCO JIMENEZ FUENTES,PPD,diputados,2020,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Tucapel_Francisco_Jiménez_Fuentes,Tucapel Francisco,Jiménez,Fuentes,Ingeniero en Ejecución Eléctrico,1 de Septiembre de 1962,Santiago,,,1,tres
GAEL FERNANDA YEOMANS ARAYA,RD,diputados,2020,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Gael_Fernanda_Yeomans_Araya,Gael Fernanda,Yeomans,Araya,Abogada,4 de Diciembre de 1988,Rancagua,,,0,0
GAEL FERNANDA YEOMANS ARAYA,RD,diputados,2021,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Gael_Fernanda_Yeomans_Araya,Gael Fernanda,Yeomans,Araya,Abogada,4 de Diciembre de 1988,Rancagua,,,0,0
TUCAPEL FRANCISCO JIMENEZ FUENTES,PPD,diputados,2021,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Tucapel_Francisco_Jiménez_Fuentes,Tucapel Francisco,Jiménez,Fuentes,Ingeniero en Ejecución Eléctrico,1 de Septiembre de 1962,Santiago,,,1,tres
GAEL FERNANDA YEOMANS ARAYA,CS,diputados,2022,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Gael_Fernanda_Yeomans_Araya,Gael Fernanda,Yeomans,Araya,Abogada,4 de Diciembre de 1988,Rancagua,,,0,0
EDUARDO ALFREDO DURAN SALINAS,RN,diputados,2022,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Eduardo_Alfredo_Durán_Salinas,Eduardo Alfredo,Durán,Salinas,Master in Applied Economics/Master of Business Administration,1 de Enero de 1972,Santiago,,Evangélico,1,dos
GAEL FERNANDA YEOMANS ARAYA,CS,diputados,2023,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Gael_Fernanda_Yeomans_Araya,Gael Fernanda,Yeomans,Araya,Abogada,4 de Diciembre de 1988,Rancagua,,,0,0
EDUARDO ALFREDO DURAN SALINAS,RN,diputados,2023,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Eduardo_Alfredo_Durán_Salinas,Eduardo Alfredo,Durán,Salinas,Master in Applied Economics/Master of Business Administration,1 de Enero de 1972,Santiago,,Evangélico,1,dos
JUAN ANTONIO COLOMA ALAMOS,UDI,diputados,2018,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Juan_Antonio_Coloma_Álamos,Juan Antonio,Coloma,Álamos,Magíster en Participación Ciudadana,14 de Marzo de 1980,Santiago,,,1,dos
JUAN ANTONIO COLOMA ALAMOS,UDI,diputados,2019,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Juan_Antonio_Coloma_Álamos,Juan Antonio,Coloma,Álamos,Magíster en Participación Ciudadana,14 de Marzo de 1980,Santiago,,,1,dos
JUAN ANTONIO COLOMA ALAMOS,UDI,diputados,2020,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Juan_Antonio_Coloma_Álamos,Juan Antonio,Coloma,Álamos,Magíster en Participación Ciudadana,14 de Marzo de 1980,Santiago,,,1,dos
JUAN ANTONIO COLOMA ALAMOS,UDI,diputados,2021,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Juan_Antonio_Coloma_Álamos,Juan Antonio,Coloma,Álamos,Magíster en Participación Ciudadana,14 de Marzo de 1980,Santiago,,,1,dos
CAMILA FERNANDA MUSANTE MULLER,INDEPENDIENTE COMUNES,diputados,2022,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Camila_Musante_Müller,Camila Fernanda,Musante,Müller,Magíster en Derecho Ambiental,6 de Febrero de 1990,Valdivia,,,0,0
MARISELA DEL CARMEN SANTIBAÑEZ NOVOA,PC,diputados,2022,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Marisela_del_Carmen_Santibáñez_Novoa,Marisela del Carmen,Santibáñez,Novoa,Actriz,24 de Abril de 1975,Santiago,,,0,0
JUAN ANTONIO COLOMA ALAMOS,UDI,diputados,2022,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Juan_Antonio_Coloma_Álamos,Juan Antonio,Coloma,Álamos,Magíster en Participación Ciudadana,14 de Marzo de 1980,Santiago,,,1,dos
CAMILA FERNANDA MUSANTE MULLER,INDEPENDIENTE COMUNES,diputados,2023,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Camila_Musante_Müller,Camila Fernanda,Musante,Müller,Magíster en Derecho Ambiental,6 de Febrero de 1990,Valdivia,,,0,0
JUAN ANTONIO COLOMA ALAMOS,UDI,diputados,2023,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Juan_Antonio_Coloma_Álamos,Juan Antonio,Coloma,Álamos,Magíster en Participación Ciudadana,14 de Marzo de 1980,Santiago,,,1,dos
MARISELA DEL CARMEN SANTIBAÑEZ NOVOA,PC,diputados,2023,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Marisela_del_Carmen_Santibáñez_Novoa,Marisela del Carmen,Santibáñez,Novoa,Actriz,24 de Abril de 1975,Santiago,,,0,0
MARIA JOSE HOFFMANN OPAZO,UDI,diputados,2014,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/María_José_Hoffmann_Opazo,María José,Hoffmann,Opazo,Magíster en Acción Política y Participación Ciudadana en el Estado del Derecho; Magíster en Políticas Públicas,28 de Diciembre de 1976,Santiago,,,1,tres
VICTOR MARCELO TORRES JELDES,PDC,diputados,2014,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Víctor_Marcelo_Torres_Jeldes,Víctor Marcelo,Torres,Jeldes,Médico,11 de Octubre de 1975,Valparaíso,,,0,una
VICTOR MARCELO TORRES JELDES,PDC,diputados,2015,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Víctor_Marcelo_Torres_Jeldes,Víctor Marcelo,Torres,Jeldes,Médico,11 de Octubre de 1975,Valparaíso,,,0,una
MARIA JOSE HOFFMANN OPAZO,UDI,diputados,2015,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/María_José_Hoffmann_Opazo,María José,Hoffmann,Opazo,Magíster en Acción Política y Participación Ciudadana en el Estado del Derecho; Magíster en Políticas Públicas,28 de Diciembre de 1976,Santiago,,,1,tres
MARIA JOSE HOFFMANN OPAZO,UDI,diputados,2016,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/María_José_Hoffmann_Opazo,María José,Hoffmann,Opazo,Magíster en Acción Política y Participación Ciudadana en el Estado del Derecho; Magíster en Políticas Públicas,28 de Diciembre de 1976,Santiago,,,1,tres
VICTOR MARCELO TORRES JELDES,PDC,diputados,2016,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Víctor_Marcelo_Torres_Jeldes,Víctor Marcelo,Torres,Jeldes,Médico,11 de Octubre de 1975,Valparaíso,,,0,una
MARIA JOSE HOFFMANN OPAZO,UDI,diputados,2017,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/María_José_Hoffmann_Opazo,María José,Hoffmann,Opazo,Magíster en Acción Política y Participación Ciudadana en el Estado del Derecho; Magíster en Políticas Públicas,28 de Diciembre de 1976,Santiago,,,1,tres
VICTOR MARCELO TORRES JELDES,PDC,diputados,2017,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Víctor_Marcelo_Torres_Jeldes,Víctor Marcelo,Torres,Jeldes,Médico,11 de Octubre de 1975,Valparaíso,,,0,una
JUAN LUIS CASTRO GONZALEZ,PS,diputados,2018,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Juan_Luis_Castro_González,Juan Luis,Castro,González,Magíster en Administración de Instituciones de Salud,18 de Abril de 1960,Santiago,,Católico,0,tres
JUAN LUIS CASTRO GONZALEZ,PS,diputados,2019,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Juan_Luis_Castro_González,Juan Luis,Castro,González,Magíster en Administración de Instituciones de Salud,18 de Abril de 1960,Santiago,,Católico,0,tres
JUAN LUIS CASTRO GONZALEZ,PS,diputados,2020,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Juan_Luis_Castro_González,Juan Luis,Castro,González,Magíster en Administración de Instituciones de Salud,18 de Abril de 1960,Santiago,,Católico,0,tres
JUAN LUIS CASTRO GONZALEZ,PS,diputados,2021,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Juan_Luis_Castro_González,Juan Luis,Castro,González,Magíster en Administración de Instituciones de Salud,18 de Abril de 1960,Santiago,,Católico,0,tres
MARCELA PATRICIA RIQUELME ALIAGA,INDEPENDIENTE CONVERGENCIA SOCIAL,diputados,2022,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Marcela_Riquelme_Aliaga,Marcela Patricia,Riquelme,Aliaga,Licenciada en Ciencias Jurídicas,04 de Marzo de 1973,Rancagua,,,0,dos
MARCELA PATRICIA RIQUELME ALIAGA,INDEPENDIENTE CONVERGENCIA SOCIAL,diputados,2023,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Marcela_Riquelme_Aliaga,Marcela Patricia,Riquelme,Aliaga,Licenciada en Ciencias Jurídicas,04 de Marzo de 1973,Rancagua,,,0,dos
PATRICIO MELERO ABAROA,UDI,diputados,2014,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Patricio_Melero_Abaroa,Patricio,Melero,Abaroa,Ingeniero,19 de Junio de 1956,Santiago,,,1,dos
